Model Architecture,Preprocessing Pipeline,F1-Score (Fall),Test Accuracy
EfficientNetLite,Raw_Data,0.821 ± 0.044,0.694 ± 0.033
EfficientNetLite,PCA_Reconstructed+SG,0.814 ± 0.023,0.653 ± 0.039
EfficientNetLite,PCA_Reconstructed+Butterworth,0.891 ± 0.045,0.686 ± 0.068
EfficientNetLite,PCA_Reconstructed+Butterworth+data_augmentation,0.918 ± 0.036,0.698 ± 0.068
GRU,Raw_Data,0.273 ± 0.050,0.206 ± 0.053
GRU,PCA_Reconstructed,0.264 ± 0.050,0.253 ± 0.070
GRU,PCA_Only,0.309 ± 0.023,0.255 ± 0.033
GRU,PCA_Only+Butterworth,0.236 ± 0.012,0.199 ± 0.033
GRU,PCA_Only+SG,0.264 ± 0.017,0.198 ± 0.024
GRU,PCA_Only+SG+data_augmentation,0.271 ± 0.036,0.250 ± 0.024
LSTM,Raw_Data,0.309 ± 0.050,0.258 ± 0.063
LSTM,PCA_Reconstructed,0.328 ± 0.045,0.286 ± 0.048
LSTM,PCA_Only,0.377 ± 0.152,0.340 ± 0.120
LSTM,PCA_Only+SG,0.351 ± 0.084,0.365 ± 0.055
LSTM,PCA_Only+Butterworth,0.737 ± 0.049,0.493 ± 0.027
LSTM,PCA_Only+Butterworth+data_augmentation,0.795 ± 0.083,0.542 ± 0.059
MobileNetV3,Raw_Data,0.807 ± 0.044,0.676 ± 0.042
MobileNetV3,PCA_Reconstructed+SG,0.764 ± 0.050,0.621 ± 0.037
MobileNetV3,PCA_Reconstructed+Butterworth,0.849 ± 0.050,0.658 ± 0.075
MobileNetV3,PCA_Reconstructed+Butterworth+data_augmentation,0.863 ± 0.046,0.662 ± 0.080
ResNet18,Raw_Data,0.872 ± 0.030,0.738 ± 0.058
ResNet18,PCA_Reconstructed+SG,0.854 ± 0.011,0.689 ± 0.033
ResNet18,PCA_Reconstructed+Butterworth,0.858 ± 0.033,0.693 ± 0.017
ResNet18,PCA_Reconstructed+Butterworth+data_augmentation,0.852 ± 0.045,0.718 ± 0.045
Transformer,Raw_Data,0.371 ± 0.054,0.280 ± 0.020
Transformer,PCA_Reconstructed+Butterworth,0.537 ± 0.070,0.376 ± 0.034
